QuerySId;SessionSid;UsersId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;NoQ;Length;RED;Edit index;Jackard index;Cosine index;Common fragments index;Common tables index;vote;ExplorationSid
0;0;690;1;0;1;1;1;0;0;0;0;0;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;41;3;0.7;0;0;0;0;0;1
1;0;690;4;0;4;1;2;1;0;1;1;1;-0.174313598344922;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.342740919903841;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;-0.369492398337294;;95;6;0.4;0.333333333333333;0.866025403784439;0.3;1;1;1
2;0;690;4;0;4;1;2;4;0;4;1;2;-0.174313598344922;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.342740919903841;-0.020874367025533;-0.302991629339198;3.50632669153128;0.070762727156789;-0.18289209037184;;167;0;1;1;0.861640436855329;0.9;1;1;1
3;0;690;4;0;4;1;2;4;0;4;1;2;-0.174313598344922;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.342740919903841;-0.020874367025533;-0.302991629339198;3.50632669153128;0.070762727156789;-0.18289209037184;;218;0;1;1;1;0.9;1;1;1
4;0;690;4;0;4;1;2;4;0;4;1;2;-0.174313598344922;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.342740919903841;-0.020874367025533;-0.302991629339198;3.50632669153128;0.070762727156789;-0.18289209037184;;192;0;1;1;1;0.9;1;1;1
5;0;690;4;0;4;1;2;4;0;4;1;2;-0.174313598344922;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.342740919903841;-0.020874367025533;-0.302991629339198;3.50632669153128;0.070762727156789;-0.18289209037184;;208;0;1;1;1;0.9;1;1;1
6;0;690;1;0;4;1;3;0;0;4;1;2;-0.309277488545259;-0.383692514184919;1.82110527716072;-0.151709551430603;-0.217767062928274;-0.249038042669367;-0.302991629339198;3.50632669153128;0.070762727156789;-0.18289209037184;;240;5;0.5;0.5;0.790637859647655;0.5;1;1;1
7;0;690;2;0;4;1;6;0;0;4;1;3;-0.264289525145146;-0.383692514184919;1.82110527716072;-0.151709551430603;0.157154507998429;-0.249038042669367;-0.302991629339198;3.50632669153128;0.070762727156789;0.003708217593614;;304;3;0.7;0.625;0.987135294792747;0.5;1;1;1
8;0;690;3;0;4;1;7;2;0;4;1;6;-0.219301561745034;-0.383692514184919;1.82110527716072;-0.151709551430603;0.282128364973996;-0.13495620484745;-0.302991629339198;3.50632669153128;0.070762727156789;0.563509141489977;;317;1;0.9;0.875;0.946497048560602;0.7;1;1;1
9;0;690;3;0;4;1;7;1;0;4;1;7;-0.219301561745034;-0.383692514184919;1.82110527716072;-0.151709551430603;0.282128364973996;-0.191997123758408;-0.302991629339198;3.50632669153128;0.070762727156789;0.750109449455431;;331;4;0.6;0.6;0.98954886855047;0.6;1;1;1
10;0;690;3;0;4;1;7;3;0;4;1;7;-0.219301561745034;-0.383692514184919;1.82110527716072;-0.151709551430603;0.282128364973996;-0.077915285936491;-0.302991629339198;3.50632669153128;0.070762727156789;0.750109449455431;;393;0;1;1;0.961678311508154;0.8;1;1;1
11;0;690;3;0;5;1;10;0;0;4;1;7;-0.219301561745034;-0.383692514184919;2.32562526305291;-0.151709551430603;0.657049935900698;-0.249038042669367;-0.302991629339198;3.50632669153128;0.070762727156789;0.750109449455431;;445;7;0.3;0.416666666666667;0.903846153846154;0.5;1;1;1
12;0;690;3;0;5;1;10;2;0;5;1;10;-0.219301561745034;-0.383692514184919;2.32562526305291;-0.151709551430603;0.657049935900698;-0.13495620484745;-0.302991629339198;4.42982790487454;0.070762727156789;1.30991037335179;;454;2;0.8;0.8;0.963229282615294;0.8;1;1;1
13;0;690;3;0;5;1;10;1;0;5;1;10;-0.219301561745034;-0.383692514184919;2.32562526305291;-0.151709551430603;0.657049935900698;-0.191997123758408;-0.302991629339198;4.42982790487454;0.070762727156789;1.30991037335179;;459;4;0.6;0.636363636363636;0.992402903851657;0.7;1;1;1
14;0;690;3;0;5;1;10;3;0;5;1;10;-0.219301561745034;-0.383692514184919;2.32562526305291;-0.151709551430603;0.657049935900698;-0.077915285936491;-0.302991629339198;4.42982790487454;0.070762727156789;1.30991037335179;;531;0;1;1;0.971482785150266;0.9;1;1;1
15;0;690;3;0;3;1;10;3;0;3;1;10;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.657049935900698;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.30991037335179;;487;2;0.8;0.777777777777778;0.969458417911852;0.7;1;1;1
16;0;690;3;0;3;1;10;3;0;1;1;10;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.657049935900698;-0.077915285936491;-0.302991629339198;0.735823051501478;0.070762727156789;1.30991037335179;;511;4;0.6;0.555555555555556;0.947758204414548;0.5;1;1;1
17;0;690;3;0;3;1;10;3;0;2;1;10;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.657049935900698;-0.077915285936491;-0.302991629339198;1.65932426484474;0.070762727156789;1.30991037335179;;511;2;0.8;0.75;0.985244675553779;0.6;1;1;1
18;0;690;3;0;3;1;11;0;0;3;1;10;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.782023792876266;-0.249038042669367;-0.302991629339198;2.58282547818801;0.070762727156789;1.30991037335179;;620;6;0.4;0.4;0.840460638985807;0.4;1;1;1
19;0;690;3;0;3;1;11;3;0;3;1;11;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.782023792876266;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.49651068131725;;668;0;1;1;0.873589088036728;0.7;1;1;1
20;0;690;3;0;3;1;11;3;0;3;1;11;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.782023792876266;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.49651068131725;;673;0;1;1;1;0.7;1;1;1
21;0;690;3;0;3;1;12;3;0;3;1;11;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.49651068131725;;693;0;1;1;1;0.7;1;1;1
22;0;690;3;0;3;1;12;1;0;3;1;12;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.191997123758408;-0.302991629339198;2.58282547818801;0.070762727156789;1.6831109892827;;720;4;0.6;0.555555555555556;0.947758204414548;0.5;1;1;1
23;0;690;3;0;3;1;12;3;0;3;1;12;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.6831109892827;;724;0;1;1;0.947758204414548;0.7;1;1;1
24;0;690;3;0;3;1;12;3;0;3;1;12;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.6831109892827;;724;0;1;1;1;0.7;1;1;1
25;0;690;3;0;3;1;12;2;0;2;1;11;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.13495620484745;-0.302991629339198;1.65932426484474;0.070762727156789;1.49651068131725;;729;4;0.6;0.555555555555556;0.981022943175945;0.5;1;1;1
26;0;690;3;0;3;1;12;3;0;3;1;12;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.6831109892827;;724;0;1;1;0.981022943175945;0.7;1;1;1
27;0;690;3;0;0;1;0;3;0;0;1;0;-0.354265451945371;-0.383692514184919;-0.19697466640804;-0.151709551430603;-0.592688633854976;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;29;3;0.7;0.571428571428571;0.725476250110012;0.4;1;1;1
28;0;690;3;0;3;1;12;0;0;0;1;0;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;725;9;0.1;0.1;0.55;0.1;1;1;1
29;0;690;3;0;3;1;12;3;0;3;1;12;-0.219301561745034;-0.383692514184919;1.31658529126853;-0.151709551430603;0.906997649851833;-0.077915285936491;-0.302991629339198;2.58282547818801;0.070762727156789;1.6831109892827;;725;0;1;1;0.725476250110012;0.7;1;1;1
30;0;690;2;2;0;1;2;0;0;0;0;2;-0.264289525145146;0.262590227004742;-0.19697466640804;-0.151709551430603;-0.342740919903841;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.18289209037184;;142;12;0;0;0.378516649305113;0;0;0;2
31;0;690;3;2;0;1;3;2;2;0;1;2;-0.219301561745034;0.262590227004742;-0.19697466640804;-0.151709551430603;-0.217767062928274;-0.13495620484745;0.718761081832151;-0.187678161841789;0.070762727156789;-0.18289209037184;;158;1;0.9;0.833333333333333;0.764552851542607;0.5;1;1;2
32;0;690;3;0;0;1;3;3;0;0;1;3;-0.219301561745034;-0.383692514184919;-0.19697466640804;-0.151709551430603;-0.217767062928274;-0.077915285936491;-0.302991629339198;-0.187678161841789;0.070762727156789;0.003708217593614;;53;2;0.8;0.666666666666667;0.792629087004267;0.4;1;1;3
33;1;1002;2;0;2;1;1;0;0;0;0;0;-0.264289525145146;-0.383692514184919;0.812065305376339;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;69;5;0.5;0;0;0;0;0;4
34;1;1002;67;0;0;1;0;0;0;0;1;0;2.65992809586214;-0.383692514184919;-0.19697466640804;-0.151709551430603;-0.592688633854976;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;41;71;0;0.013888888888889;0.671492221553768;0.1;1;1;4
35;1;1002;1;0;1;1;1;0;0;0;1;0;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;54;69;0;0.014285714285714;0.514810703191222;0.1;1;1;4
36;1;1002;1;0;1;1;1;0;0;0;1;0;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;48;4;0.6;0.2;1;0.1;1;1;4
37;1;1002;1;0;1;1;1;0;0;1;1;1;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;0.735823051501478;0.070762727156789;-0.369492398337294;;53;2;0.8;0.5;0.894427190999916;0.2;1;1;4
38;1;1002;1;0;1;1;1;0;0;1;1;1;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;0.735823051501478;0.070762727156789;-0.369492398337294;;56;2;0.8;0.5;1;0.2;1;1;4
39;1;1002;1;0;1;1;1;0;0;0;1;0;-0.309277488545259;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;54;4;0.6;0.2;0.894427190999916;0.1;1;1;4
40;1;1002;1;1;1;1;2;0;0;0;1;1;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;-0.342740919903841;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.369492398337294;;77;5;0.5;0.166666666666667;0.894427190999916;0.1;1;1;4
41;1;1002;1;1;1;1;2;1;0;1;1;2;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;-0.342740919903841;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;-0.18289209037184;;78;2;0.8;0.6;0.845154254728516;0.3;1;1;4
42;1;1002;1;1;1;1;1;0;1;0;1;1;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;-0.467714776879408;-0.249038042669367;0.207884726246477;-0.187678161841789;0.070762727156789;-0.369492398337294;;84;4;0.6;0.333333333333333;0.77151674981046;0.2;1;1;5
43;1;1002;67;1;0;1;1;0;0;0;1;1;2.65992809586214;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.369492398337294;;70;71;0;0.013888888888889;0.426385611646239;0.1;1;1;5
44;2;354;2;1;0;1;4;0;0;0;0;0;-0.264289525145146;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.092793205952706;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;146;4;0.6;0;0;0;0;0;6
45;2;354;2;1;0;1;6;2;0;0;1;4;-0.264289525145146;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.157154507998429;-0.13495620484745;-0.302991629339198;-0.187678161841789;0.070762727156789;0.190308525559068;;170;2;0.8;0.6;0.738548945875997;0.3;0.333333333333333;1;6
46;2;354;2;1;0;1;6;2;0;0;1;6;-0.264289525145146;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.157154507998429;-0.13495620484745;-0.302991629339198;-0.187678161841789;0.070762727156789;0.563509141489977;;171;2;0.8;0.6;1;0.3;0.333333333333333;1;6
47;2;354;2;1;0;1;6;2;0;0;1;6;-0.264289525145146;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.157154507998429;-0.13495620484745;-0.302991629339198;-0.187678161841789;0.070762727156789;0.563509141489977;;172;2;0.8;0.6;1;0.3;0.333333333333333;1;6
48;2;354;1;1;1;1;5;0;1;0;1;5;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;0.032180651022861;-0.249038042669367;0.207884726246477;-0.187678161841789;0.070762727156789;0.376908833524523;;168;4;0.6;0.333333333333333;0.615457454896664;0.2;0.333333333333333;1;6
49;2;354;1;1;1;1;5;1;0;1;1;5;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;0.032180651022861;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;0.376908833524523;;167;2;0.8;0.6;0.77151674981046;0.3;0.333333333333333;1;6
50;2;354;1;1;1;1;5;1;0;1;1;5;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;0.032180651022861;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;0.376908833524523;;169;2;0.8;0.6;1;0.3;0.333333333333333;1;6
51;2;354;1;3;1;1;5;1;1;1;1;5;-0.309277488545259;0.585731597599573;0.307545319484149;-0.151709551430603;0.032180651022861;-0.191997123758408;0.207884726246477;0.735823051501478;0.070762727156789;0.376908833524523;;237;2;0.8;0.666666666666667;0.850420064270761;0.4;0.333333333333333;1;6
52;2;354;2;3;0;1;6;0;3;0;1;5;-0.264289525145146;0.585731597599573;-0.19697466640804;-0.151709551430603;0.157154507998429;-0.249038042669367;1.22963743741783;-0.187678161841789;0.070762727156789;0.376908833524523;;241;4;0.6;0.5;0.816496580927726;0.4;0.333333333333333;1;6
53;2;354;3;1;0;1;1;0;0;0;1;0;-0.219301561745034;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;69;9;0.1;0.1;0.648181216087669;0.1;0.333333333333333;1;6
54;2;354;1;1;1;1;2;0;1;0;1;1;-0.309277488545259;-0.060551143590089;0.307545319484149;-0.151709551430603;-0.342740919903841;-0.249038042669367;0.207884726246477;-0.187678161841789;0.070762727156789;-0.369492398337294;;76;5;0.5;0.285714285714286;0.707106781186548;0.2;0.333333333333333;1;6
55;2;354;3;1;0;1;1;0;1;0;1;1;-0.219301561745034;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;0.207884726246477;-0.187678161841789;0.070762727156789;-0.369492398337294;;69;5;0.5;0.285714285714286;0.792593923901217;0.2;0.333333333333333;1;6
56;2;354;3;1;0;1;1;3;0;0;1;0;-0.219301561745034;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.077915285936491;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;56;2;0.8;0.666666666666667;0.726273039202563;0.4;0.333333333333333;1;6
57;2;354;2;4;0;1;6;0;0;0;1;0;-0.264289525145146;0.908872968194403;-0.19697466640804;-0.151709551430603;0.157154507998429;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.556092706302749;;263;10;0;0.090909090909091;0.558290526239083;0.1;0.333333333333333;1;6
58;2;354;1;4;1;1;6;0;4;0;1;6;-0.309277488545259;0.908872968194403;0.307545319484149;-0.151709551430603;0.157154507998429;-0.249038042669367;1.7405137930035;-0.187678161841789;0.070762727156789;0.563509141489977;;259;4;0.6;0.555555555555556;0.710669054518701;0.5;0.333333333333333;1;6
59;2;354;2;0;1;1;2;0;0;0;0;0;-0.264289525145146;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.342740919903841;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;125;11;0;0;0.272165526975909;0;0;0;7
60;2;354;2;0;1;1;2;1;0;1;1;1;-0.264289525145146;-0.383692514184919;0.307545319484149;-0.151709551430603;-0.342740919903841;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;-0.369492398337294;;125;2;0.8;0.6;0.816496580927726;0.3;0.333333333333333;1;7
61;2;354;2;0;1;2;2;1;0;1;1;1;-0.264289525145146;-0.383692514184919;0.307545319484149;0.151994238147492;-0.342740919903841;-0.191997123758408;-0.302991629339198;0.735823051501478;0.070762727156789;-0.369492398337294;;194;3;0.7;0.5;0.962250448649376;0.3;0.333333333333333;1;7
62;2;354;2;4;1;2;5;2;0;1;2;2;-0.264289525145146;0.908872968194403;0.307545319484149;0.151994238147492;0.032180651022861;-0.13495620484745;-0.302991629339198;0.735823051501478;0.557792903484934;-0.18289209037184;;335;4;0.6;0.555555555555556;0.693103280083672;0.5;0.666666666666667;1;7
63;2;354;2;4;1;2;6;2;3;1;2;5;-0.264289525145146;0.908872968194403;0.307545319484149;0.151994238147492;0.157154507998429;-0.13495620484745;1.22963743741783;0.735823051501478;0.557792903484934;0.376908833524523;;337;2;0.8;0.8;0.8892118276421;0.8;0.666666666666667;1;7
64;2;354;2;5;1;2;6;2;4;1;2;6;-0.264289525145146;1.23201433878923;0.307545319484149;0.151994238147492;0.157154507998429;-0.13495620484745;1.7405137930035;0.735823051501478;0.557792903484934;0.563509141489977;;382;1;0.9;0.9;0.992681139886719;0.9;0.666666666666667;1;7
65;2;354;2;2;1;2;6;2;1;1;2;6;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.157154507998429;-0.13495620484745;0.207884726246477;0.735823051501478;0.557792903484934;0.563509141489977;;383;5;0.5;0.545454545454545;0.868680463676645;0.6;0.666666666666667;1;7
66;2;354;2;2;1;2;6;2;1;1;2;6;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.157154507998429;-0.13495620484745;0.207884726246477;0.735823051501478;0.557792903484934;0.563509141489977;;386;2;0.8;0.75;1;0.6;0.666666666666667;1;7
67;2;354;2;2;1;2;6;2;1;1;2;6;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.157154507998429;-0.13495620484745;0.207884726246477;0.735823051501478;0.557792903484934;0.563509141489977;;383;2;0.8;0.75;1;0.6;0.666666666666667;1;7
68;2;354;2;2;1;2;6;1;2;1;2;6;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.157154507998429;-0.191997123758408;0.718761081832151;0.735823051501478;0.557792903484934;0.563509141489977;;390;2;0.8;0.75;0.956521739130435;0.6;0.666666666666667;1;7
69;2;354;9;2;0;2;5;0;2;0;2;5;0.050626218655638;0.262590227004742;-0.19697466640804;0.151994238147492;0.032180651022861;-0.249038042669367;0.718761081832151;-0.187678161841789;0.557792903484934;0.376908833524523;;332;12;0;0.25;0.719828656338977;0.4;0.666666666666667;1;7
70;2;354;9;3;0;2;7;9;2;0;2;5;0.050626218655638;0.585731597599573;-0.19697466640804;0.151994238147492;0.282128364973996;0.26433022752926;0.718761081832151;-0.187678161841789;0.557792903484934;0.376908833524523;;369;1;0.9;0.928571428571429;0.743059827822437;1;0.666666666666667;1;7
71;2;354;2;2;1;2;8;0;2;0;2;7;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.407102221949563;-0.249038042669367;0.718761081832151;-0.187678161841789;0.557792903484934;0.750109449455431;;384;13;0;0.235294117647059;0.580720702194993;0.4;0.666666666666667;1;7
72;2;354;2;2;1;2;8;1;2;1;2;8;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.407102221949563;-0.191997123758408;0.718761081832151;0.735823051501478;0.557792903484934;0.936709757420886;;388;2;0.8;0.75;0.955533085905909;0.6;0.666666666666667;1;7
73;2;354;2;2;1;2;8;1;2;1;2;8;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.407102221949563;-0.191997123758408;0.718761081832151;0.735823051501478;0.557792903484934;0.936709757420886;;405;2;0.8;0.75;1;0.6;0.666666666666667;1;7
74;2;354;4;1;0;1;1;0;0;0;0;0;-0.354265451945371;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;95;13;0;0;0.589767824619589;0;0;0;8
75;2;354;3;1;0;1;1;2;0;0;1;1;-0.354265451945371;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.369492398337294;;106;5;0.5;0.375;0.824957911384305;0.3;0.333333333333333;1;8
76;2;354;3;1;0;1;1;2;0;0;1;1;-0.354265451945371;-0.060551143590089;-0.19697466640804;-0.151709551430603;-0.467714776879408;-0.249038042669367;-0.302991629339198;-0.187678161841789;0.070762727156789;-0.369492398337294;;106;4;0.6;0.428571428571429;1;0.3;0.333333333333333;1;8
77;2;354;9;1;0;1;9;0;1;0;1;1;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;-0.249038042669367;0.207884726246477;-0.187678161841789;0.070762727156789;-0.369492398337294;;199;12;0;0.142857142857143;0.813489216819961;0.2;0.333333333333333;1;8
78;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;197;2;0.8;0.833333333333333;0.755294511205873;1;0.333333333333333;1;8
79;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;197;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
80;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;201;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
81;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;199;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
